PROJECT NAME,LATITUDE,LONGITUDE
Gbefi Tornu,6.994818,0.377284
Gbefi Hwime,7.000172,0.38243
Gabi ,6.982294,0.302681
Sovie,6.932767,0.284892
Mangotsideka,6.55433,0.639878
Kpekorwoe,6.368088,0.786832
Siavi,6.395113,0.706875
Takuve,6.444552,0.734627
Ahekpui,6.337132,0.783344
GoloKwati,6.999819,0.438577
Logba,6.892624,0.433515
Sadzikopfe,6.805732,0.333986
Avukope (Kokombakofe) ,6.750555,0.316903
Karvenu,5.991424,0.813312
Bata (Basic School),6.137053,0.835094
Wugate,6.199971,0.737871
Live Amenyokope,6.135102,0.771175
Assembly Hall,6.515575,0.214634
Boys Hostel,6.515005,0.214515
GETFUND Hostel,6.516575,0.213234
Tutors Bungalows,6.51776,0.213389
Nkonya Ahundwo,7.10981,0.313248
Bowiri Odumase,7.327337,0.285893
Kwamikrom,7.290153,0.317495
Takrabe,7.339417,0.408043
Pechi No. 2,6.199738,-0.46611
Afiesa,6.155677,-0.591544
Apampam,6.149448,-0.59864
Pechi No.1 ,6.202146,-0.466284
Ayirebi Health Centre,6.08518,-1.12092
Otwereso Mpaebo,6.01011,-1.145237
Otwereso (Chief's Palace),6.01467,-1.143584
Ayirebi Site 2,6.075723,-1.119107
Abakrampa (New Town),5.251951,-1.232909
Ebonloa,5.035142,-2.549978
Donkoto,6.503374,-2.279968
Kyerayaso,6.599804,-2.170038
Pakyi ,6.600341,-1.960301
Betinko,6.626958,-1.963359
Amudruase,6.074923,-1.412002
Oyankrom B/A Primary Sch.,6.006053,-1.474538
Kwame Nkyi,6.008646,-1.316772
Dotom,6.015059,-1.499391
Huu,6.210442,-1.877237
Aketekyie,6.280663,-1.6889
Tweapease,6.143503,-1.745447
Anyankyirem,6.265375,-1.697867
Abadwum Nkwanta,6.302461,-1.654922
Abadwum (W. Adu Asare Basic School),6.3003,-1.660113
Adansi Abadwum,6.300977,-1.663132
Adomenu,6.303811,-1.68018
Hwibaa Krofrom New Town,6.914142,-2.040758
Hwibaa Krofrom No. 2,6.914899,-2.037984
Hwibaa Krofrom No. 1,6.917948,-2.04055
Hwibaa No. 1,6.920273,-2.04561
PolyClinic,7.018919,-3.053537
Kyekyere,6.963998,-2.876624
Wamline/African Faith,7.017738,-3.04559
Tingakrom,6.991024,-2.975945
Yaakrom (Mosikrom),7.092682,-3.019877
Kato East,7.439258,-2.548125
Bofokyere,7.414741,-2.572119
Sinase Semenhyia,7.418509,-2.578018
Methodist SHS,7.420165,-2.594758
Nguametumbi (Yeji Nsuano),8.224254,-0.648133
Parambo Sawaba,8.136344,-0.78972
Kyerepon (Yeji Cherepo),8.215448,-0.658478
Gindinbisa (Old Market) / Gontawiya (Central),8.224489,-0.651716
Kyeame Krom,7.782867,-0.471928
Kofi Djan,7.774053,-0.544092
Shafa Zongo,7.728353,-0.711828
Lemukasamante,7.75785,-0.611853
Bitiro,9.10402,0.322648
Suburuni,8.841254,0.395251
Nabomba,8.868369,0.35689
Sakpolingabana,9.239753,0.337815
Zohi,9.441063,-0.014521
Kamanji,9.441884,-0.025393
Kulinkpegu 1,9.3571,-0.259776
Kulinkpegu 2,9.344588,-0.251316
Sung,9.938003,-0.552607
Zogu,9.919507,-0.322043
Gurgo,9.967751,-0.708405
Wayamba,9.303624,-1.114586
Nafarum,9.383047,-1.082634
Kuruguvuhiya,9.430488,-1.113074
Bunyili,9.367076,-1.154949
Savelugu School for the Deaf,9.66028,-0.82472
Sawla - Yipala,9.282958,-2.414765
Nyenye,9.251329,-2.375564
Gunsi,9.517273,-2.514968
Kong - Kpaltobo,9.524202,-2.285105
Juku,9.021773,-1.028004
Tuluwe,8.708138,-0.931748
Bonyase,9.088068,-1.180408
Zomlampe,9.31834,-1.076467
Kokoligu,10.988233,-2.79346
Tankupella,10.881404,-2.782478
Lapal,10.879967,-2.810892
Kogle Kundatin,10.586916,-2.798086
